ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"112.64.134.154","anonymous","AS17621","CN","China Unicom Shanghai network","193","Shenxuexinxi","1443","http","5073","100","16","16","2025-03-08T16:36:24.269Z","1910"
"104.25.251.18","elite","AS13335","CA","Cloudflare, Inc.","52","Cloudflare, Inc.","13335","socks4","1","100","9167","9168","2025-03-08T16:36:22.694Z","825"
"45.126.168.81","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","142","NET 4 U Services PVT LTD","4145","socks4","1","99","9188","9255","2025-03-08T16:36:19.194Z","1210"
"203.30.189.103","elite","AS209242","BZ","Cloudflare London, LLC","4","Umpire Associates LTD","80","socks4","1","100","9131","9133","2025-03-08T16:36:16.575Z","984"
"129.205.244.185","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","195","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","5678","socks4","1","99","2505","2523","2025-03-08T16:36:15.279Z","499"
"139.59.66.145","elite","AS14061","IN","DigitalOcean, LLC","144","DigitalOcean, LLC","41458","socks5","1","91","8383","9173","2025-03-08T16:36:15.083Z","3391"
"197.234.13.2","elite","AS36902","SC","Intelvision","128","Intelvision Ltd","4145","socks4","1","99","9030","9080","2025-03-08T16:36:15.084Z","2906"
"165.225.61.26","elite","AS22616","US","ZSCALER, INC.","97","Zscaler, Inc","10089","socks4","1","97","2226","2291","2025-03-08T16:36:12.666Z","5301"
"171.248.211.25","elite","AS7552","VN","Viettel Corporation","279","VIETEL","1080","socks4","1","65","1496","2289","2025-03-08T16:36:12.668Z","4198"
"91.93.143.14","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","83","Superonline Iletisim Hizmetleri","4153","socks4","1","99","2466","2482","2025-03-08T16:36:12.667Z","4810"
"51.161.7.140","elite","AS16276","CA","OVH SAS","101","OVH Hosting, Inc","80","socks4","1","100","517","517","2025-03-08T16:36:12.668Z","4501"
"88.245.138.87","elite","AS9121","TR","Turk Telekomunikasyon A.S","91","TurkTelecom","1080","socks4","1","97","2460","2531","2025-03-08T16:36:11.773Z","5292"
"202.61.120.182","transparent","AS133000","IN","Arjun Telecom Pvt. Ltd.","182","Arjun Telecom Pvt. Ltd.","8080","http","2096","97","30","31","2025-03-08T16:36:11.776Z","901"
"27.75.155.229","elite","AS7552","VN","Newass2011xDSLHN","280","N/A","1080","socks4","1","84","1955","2314","2025-03-08T16:36:11.776Z","4695"
"159.223.173.147","elite","AS14061","US","DigitalOcean, LLC","93","DigitalOcean, LLC","27188","socks5","1","34","3131","9289","2025-03-08T16:36:07.171Z","2308"
"103.242.104.246","elite","AS58821","ID","PT Lintas Jaringan Nusantara","174","PT Lintas Jaringan Nusantara","5678","socks4","1","89","8305","9285","2025-03-08T16:36:07.171Z","483"
"119.93.122.233","elite","AS9299","PH","Philippine Long Distance Telephone Co.","258","Philippine Long Distance Telephone Company","4145","socks4","1","99","2393","2425","2025-03-08T16:36:07.170Z","714"
"183.62.58.35","elite","AS4134","CN","Chinanet","220","Guangzhourunbaoxinxikejiyouxian","1080","socks4","1","90","8363","9251","2025-03-08T16:36:07.170Z","1108"
"176.102.70.102","elite","AS41929","RU","Sistemy Svyazi Llc","57","Sistemy Svyazi Llc","1080","socks5","1","99","9201","9265","2025-03-08T16:36:03.573Z","3397"
"89.132.207.82","elite","AS21334","HU","Vodafone Hungary Ltd.","81","Vodafone Hungary Ltd","4145","socks4","1","99","9134","9183","2025-03-08T16:36:02.677Z","865"
"171.5.1.96","elite","AS45758","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","4153","socks4","1","97","2230","2309","2025-03-08T16:36:02.680Z","3396"
"45.128.133.225","elite","AS206804","BE","EstNOC OY","13","ESTNOC-GLOBAL","1080","socks4","1","100","1287","1288","2025-03-08T16:35:59.671Z","3905"
"110.77.184.178","elite","AS131090","TH","CAT Telecom Public Company Limited","202","CAT BB","4145","socks4","81","91","8338","9197","2025-03-08T16:35:59.674Z","2201"
"46.173.175.166","elite","N/A","UA","GTELECOM IP","84","N/A","10801","socks4","1","98","2457","2506","2025-03-08T16:35:59.672Z","784"
"36.85.69.60","elite","AS7713","ID","PT. TELKOM INDONESIA","267","N/A","8080","socks4","1","84","1985","2363","2025-03-08T16:35:59.672Z","711"
"93.115.144.237","elite","AS43754","IR","Asiatech Data Transmission company","90","Asiatech Data Transmission Co.","5678","socks4","1","99","532","535","2025-03-08T16:35:59.766Z","2799"
"103.105.86.57","elite","AS63969","BD","Race Online Limited","171","Creative Bangladesh","5678","socks4","1","7","618","9168","2025-03-08T16:35:55.372Z","1493"
"139.196.186.157","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","180","Aliyun Computing Co., LTD","24001","socks5","1","70","6380","9174","2025-03-08T16:35:55.373Z","3197"
"75.119.202.21","elite","AS26347","US","New Dream Network, LLC","155","New Dream Network, LLC","15745","socks5","1","78","7233","9248","2025-03-08T16:35:55.374Z","5000"
"189.201.187.3","elite","AS28438","MX","IP Matrix, S.A. de C.V.","159","IP Matrix, S.A. de C.V","4145","socks4","1","99","2481","2518","2025-03-08T16:35:55.375Z","2689"
"161.35.125.167","elite","AS14061","US","DigitalOcean, LLC","96","DigitalOcean, LLC","7497","socks5","1","100","9278","9318","2025-03-08T16:35:55.378Z","1706"
"202.53.172.76","elite","AS23923","BD","Agni Systems Limited","167","Agni Systems Ltd.","5678","socks4","1","97","8957","9205","2025-03-08T16:35:55.374Z","1416"
"183.80.130.9","elite","AS18403","VN","Vietnam Internet Network Information Center","200","N/A","4145","socks4","1","99","2456","2488","2025-03-08T16:35:51.284Z","544"
"103.82.8.237","elite","AS136156","BD","FNF Online","186","N/A","4153","socks4","1","83","7679","9236","2025-03-08T16:35:51.282Z","419"
"151.232.18.66","elite","AS58224","IR","Iran Telecommunication Company PJS","112","N/A","5678","socks4","1","95","8728","9225","2025-03-08T16:35:51.278Z","4282"
"202.159.35.97","elite","AS9340","ID","PT IndoInternet","269","N/A","443","socks4","1","99","9045","9165","2025-03-08T16:35:51.280Z","2903"
"134.119.190.185","elite","AS29066","FR","velia.net Internetdienste GmbH","78","Gameye","777","socks4","1","91","8348","9198","2025-03-08T16:35:51.281Z","4813"
"121.66.105.19","elite","AS3786","KR","LG DACOM Corporation","239","LG Uplus","51080","socks4","81","100","9141","9166","2025-03-08T16:35:51.281Z","5206"
"159.192.139.42","elite","AS131090","TH","CAT Telecom Public Company Limited","208","CAT BB","5678","socks4","1","98","2285","2335","2025-03-08T16:35:45.176Z","429"
"103.84.178.193","elite","AS136279","IN","Glo Internet Services Pvt Ltd","150","Glo  Pvt Ltd","4153","socks4","1","99","2328","2340","2025-03-08T16:35:45.178Z","3001"
"192.3.54.198","elite","AS36352","US","HostPapa","98","RackNerd LLC","3128","socks4","5","100","9313","9318","2025-03-08T16:35:45.178Z","882"
"109.248.236.150","elite","AS8200","KZ","Uplink LLC","78","Uplink LLC","9898","socks4","1","91","2309","2527","2025-03-08T16:35:45.380Z","2496"
"84.38.189.241","elite","AS49505","RU","JSC Selectel","98","N/A","30073","socks4","1","99","9059","9196","2025-03-08T16:35:45.379Z","2011"
"103.23.101.97","elite","AS58400","ID","Universitas Negeri Semarang, y","218","UNNES","4145","socks4","1","98","2423","2461","2025-03-08T16:35:45.176Z","4901"
